run,pose,rep,md_job_id,t0_energy_ns,window_frames,dG_operative_kcal,cSEM_kcal,N_eff,below_neff_floor
pose0_rep1,0,1,6d53c1af-e0f9-4bab-a065-1a7ab62fb7b9,0.29,143,-56.379,0.403,109.4,False
pose0_rep2,0,2,127ee13d-b945-4520-a2a2-d778073c780d,0.215,158,-51.048,0.353,104.1,False
pose0_rep3,0,3,dbd62fa3-3f64-4895-abd1-f1ca86feba74,0.59,83,-41.517,0.42,58.1,False
pose0_rep4,0,4,c2380fc0-6e6d-4284-93ad-de8436a13b60,0.38,125,-57.283,0.567,48.1,False
pose0_rep5,0,5,deaec49f-eade-47e9-9c1e-63e8f44baf8c,0.9,21,-53.95,1.393,8.8,True
pose1_rep1,1,1,3c4d38e6-9a3e-48d5-92e0-36ef1743626e,0.6,81,-50.915,0.466,50.2,False
pose1_rep2,1,2,4aaa8ab8-1e10-41e7-ba5a-09b207fe1d31,0.13,175,-50.868,1.112,15.0,False
pose1_rep3,1,3,9ac9849a-1a69-4f84-ac60-ce930ee0de06,0.165,168,-48.875,0.973,14.8,False
pose1_rep4,1,4,09b77a40-d6b1-42a5-950d-ac5e8b806faf,0.15,171,-60.379,0.571,42.7,False
pose1_rep5,1,5,536ba129-8d2a-4cef-9183-cde12befe29c,0.795,42,-55.425,0.641,38.7,False
pose1_rep6,1,6,d596130c-8062-4c15-bb7c-d69e4ec2c9fc,0.28,145,-47.456,0.493,45.8,False
pose1_rep7,1,7,849118c3-6842-4ac4-b46e-ff89d976fc68,0.76,49,-53.861,1.096,15.9,False
pose1_rep8,1,8,289b578e-fcf7-43ac-859c-590e5acfc9f7,0.44,113,-44.618,0.839,20.0,False
pose2_rep1,2,1,f95fe87d-46f0-4d81-a83b-f9291e7220dc,0.73,55,-44.456,0.426,49.7,False
pose2_rep2,2,2,c366e126-47b6-49f2-8154-a5f70d81524b,0.565,88,-49.988,0.773,16.8,False
pose2_rep4,2,4,4e12de8c-cb73-4ba5-b1f9-f05da16c588f,0.045,192,-52.02,0.482,50.3,False
pose2_rep5,2,5,1a820507-771b-4f71-98c6-78bad12a4b5d,0.685,64,-47.632,1.466,11.1,False
pose2_rep6,2,6,ebe9f241-4fa5-44c0-9bd6-2b506f573512,,201,-42.093,1.072,16.7,False
pose2_rep7,2,7,34c5cbdf-ed73-4e77-ba37-0c37bb124598,0.23,155,-50.194,0.317,118.1,False
pose2_rep8,2,8,61af92c2-e640-4b65-a517-e31885d51478,0.675,66,-54.571,0.886,18.3,False
